Jonathan Bernier,Adam Boqvist,Lias Andersson,Viktor Arvidsson,Sebastian Aho
Eric Comrie,Will Butcher,Mathew Barzal,Evgenii Dadonov,Sven Andrighetto
Louis Domingue,Rasmus Dahlin,Henrik Borgstrom,Brendan Gallagher,Ivan Barbashev
Evan Fitzpatrick,Drew Doughty,Sean Couturier,Patric Hornqvist,Lawson Crouse
Jon Gillies,Vince Dunn,Jonathan Drouin,Joshua Ho-Sang,Grigori Denisenko
Thomas Greiss,Alexander Edler,Nazem Kadri,Tyler Johnson,Spencer Foo
Chad Johnson,Ryan Ellis,William Karlsson,Kasperi Kapanen,Nikita Gusev
Martin Jones,Alex Goligoski,Jesperi Kotkaniemi,Martin Kaut,Mike Hoffman
Darcy Kuemper,Travis Hamonic,Evgeny Kuznetsov,Mitchell Marner,Zach Hyman
Roberto Luongo,Noah Hanifin,Isac Lundestrom,Valeri Nichushkin,Vladislav Kamenev
Petr Mrazek,Quintin Hughes,Casey Mittelstadt,Alexander Radulov,Evander Kane
Matt Murray,Olli Juolevi,Brayden Point,Ty Rattie,Jonathan Marchessault
Antti Niemi,Charlie McAvoy,Michael Rasmussen,Sam Reinhart,Patrick Maroon
Jake Oettinger,Victor Mete,Dylan Sikura,Zach Senyshyn,Artemi Panarin
Tuukka Rask,Sami Niku,Kyle Turris,Daniel Sprong,Brandon Saad
Ilya Sorokin,Matt Niskanen,Pavel Zacha,Tyler Toffoli,Conor Sheary
Malcolm Subban,Morgan Rielly,,Eeli Tolvanen,Matthew Tkachuk
Cam Talbot,Rasmus Ristolainen,,,Brady Tkachuk
Cam Ward,Justin Schultz,,,James van Riemsdyk
Scott Wedgewood,Kevin Shattenkirk,,,Jimmy Vesey
,Troy Stecher,,,
,Jordan Subban,,,
,Keith Yandle,,,
,Nikita Zaitsev,,,
