Jake Allen [SUN],Tyson Barrie [SUN],Lias Andersson [BUC],Viktor Arvidsson [BUC],Sebastian Aho [BUC]
Frederik Andersen [SUN],Jake Bean [SUN],Nicklas Backstrom [SUN],Andreas Athanasiou [RAM],Sven Andrighetto [BUC]
Craig Anderson [RAM],Nicolas Beaudin [RAM],Aleksander Barkov [SUN],Cam Atkinson [PAC],Zach Aston-Reese [PAC]
Justus Annunen [SUN],Adam Boqvist [BUC],Mathew Barzal [BUC],David Backes [REB],Sven Baertschi [PAC]
Jonathan Bernier [BUC],Evan Bouchard [RAM],Patrice Bergeron [RAM],Josh Bailey [RAM],Ivan Barbashev [BUC]
Jean-Francois Berube [SUN],Madison Bowey [REB],Henrik Borgstrom [BUC],Jonatan Berggren [SUN],Anthony Beauvillier [PAC]
Antoine Bibeau [REB],Erik Brannstrom [REB],Logan Brown [RAM],Oliver Bjorkstrand [REB],Kieffer Bellows [PAC]
Jordan Binnington [REB],T.J. Brodie [SUN],Jeff Carter [SUN],Sammy Blais [RAM],Jamie Benn [REB]
Ben Bishop [PAC],Brent Burns [SUN],Filip Chytil [RAM],Brock Boeser [PAC],Sam Bennett [REB]
Mackenzie Blackwood [RAM],Will Butcher [BUC],Anthony Cirelli [SUN],Dominik Bokk [PAC],Tyler Benson [REB]
Sergei Bobrovsky [REB],Dustin Byfuglien [SUN],Logan Couture [REB],Pavel Buchnevich [PAC],Tyler Bertuzzi [PAC]
Laurent Brossoit [SUN],Brandon Carlo [SUN],Sean Couturier [BUC],J.T. Compher [SUN],Anders Bjork [RAM]
Eric Comrie [BUC],John Carlson [PAC],Sidney Crosby [PAC],Nick Cousins [RAM],Andre Burakovsky [PAC]
Mike Condon [REB],Gabriel Carlsson [SUN],Ty Dellandrea [RAM],Charlie Coyle [REB],Kyle Connor [SUN]
Jared Coreau [PAC],Thomas Chabot [SUN],Jason Dickinson [REB],Evgenii Dadonov [BUC],Lawson Crouse [BUC]
Corey Crawford [RAM],Dennis Cholowski [PAC],Ryan Donato [SUN],Alex DeBrincat [RAM],Jake DeBrusk [PAC]
Oscar Dansk [SUN],Jakob Chychrun [REB],Leon Draisaitl [SUN],Joonas Donskoi [PAC],Grigori Denisenko [BUC]
Scott Darling [RAM],Rasmus Dahlin [BUC],Jonathan Drouin [BUC],Anthony Duclair [PAC],Max Domi [PAC]
Aaron Dell [PAC],Anthony DeAngelo [RAM],Dylan Dube [RAM],Jordan Eberle [SUN],Nikolaj Ehlers [SUN]
Thatcher Demko [SUN],Noah Dobson [SUN],Pierre-Luc Dubois [SUN],Christian Fischer [REB],Robby Fabbri [RAM]
Philippe Desrosiers [SUN],Drew Doughty [BUC],Matt Duchene [PAC],Brendan Gallagher [BUC],Joel Farabee [RAM]
Michael Dipietro [RAM],Matt Dumba [REB],Christian Dvorak [RAM],Julien Gauthier [SUN],Kevin Fiala [REB]
Louis Domingue [BUC],Vince Dunn [BUC],Jack Eichel [RAM],Nikolay Goldobin [RAM],Warren Foegele [PAC]
Devan Dubnyk [RAM],Alexander Edler [BUC],Joel Eriksson Ek [RAM],Yanni Gourde [SUN],Spencer Foo [BUC]
Brian Elliott [RAM],Aaron Ekblad [RAM],Jakob Forsbacka Karlsson [SUN],Mikael Granlund [SUN],Filip Forsberg [REB]
Evan Fitzpatrick [BUC],Mattias Ekholm [PAC],Morgan Frost [SUN],Denis Gurianov [SUN],Johnny Gaudreau [PAC]
Marc-Andre Fleury [RAM],Oliver Ekman-Larsson [PAC],Alex Galchenyuk [SUN],Danton Heinen [SUN],Claude Giroux [SUN]
Anton Forsberg [REB],Ryan Ellis [BUC],Ryan Getzlaf [PAC],Patric Hornqvist [BUC],Jordan Greenway [PAC]
Pavel Francouz [PAC],Dante Fabbro [RAM],Cody Glass [RAM],Joshua Ho-Sang [BUC],Jake Guentzel [SUN]
Alexandar Georgiev [SUN],Justin Faulk [REB],Jayce Hawryluk [RAM],Tomas Hyka [SUN],Nikita Gusev [BUC]
John Gibson [RAM],Haydn Fleury [SUN],Barrett Hayton [SUN],Alex Iafallo [RAM],Taylor Hall [PAC]
Jon Gillies [BUC],Callan Foote [RAM],Nico Hischier [SUN],Tyler Johnson [BUC],Tomas Hertl [SUN]
Thomas Greiss [BUC],Cam Fowler [SUN],Bo Horvat [PAC],Dominik Kahun [RAM],Mike Hoffman [BUC]
Philipp Grubauer [REB],Jake Gardiner [REB],Brett Howden [RAM],Patrick Kane [REB],Jonathan Huberdeau [SUN]
Kristers Gudlevskis [REB],Mark Giordano [REB],Ryan Johansen [PAC],Kasperi Kapanen [BUC],Zach Hyman [BUC]
Johan Gustafsson [PAC],Samuel Girard [PAC],Nazem Kadri [BUC],Ondrej Kase [REB],Mattias Janmark [PAC]
Carter Hart [RAM],Alex Goligoski [BUC],William Karlsson [BUC],Martin Kaut [BUC],Andreas Johnsson [PAC]
Magnus Hellberg [PAC],Shayne Gostisbehere [REB],Adrian Kempe [SUN],Phil Kessel [PAC],Max Jones [REB]
Connor Hellebuyck [SUN],Dougie Hamilton [PAC],Alexander Kerfoot [RAM],Travis Konecny [RAM],Tyson Jost [REB]
Braden Holtby [SUN],Travis Hamonic [BUC],Anze Kopitar [SUN],Yegor Korshkov [PAC],Vladislav Kamenev [BUC]
Jimmy Howard [SUN],Noah Hanifin [BUC],Jesperi Kotkaniemi [BUC],Ilya Kovalchuk [REB],Evander Kane [BUC]
Ville Husso [SUN],Victor Hedman [RAM],Rasmus Kupari [PAC],Vitali Kravtsov [PAC],Kirill Kaprizov [PAC]
Michael Hutchinson [RAM],Miro Heiskanen [REB],Evgeny Kuznetsov [BUC],Nikita Kucherov [RAM],Clayton Keller [REB]
Carter Hutton [REB],Julius Honka [REB],Dylan Larkin [PAC],Luke Kunin [SUN],Klim Kostin [PAC]
Tristan Jarry [RAM],Quintin Hughes [BUC],Isac Lundestrom [BUC],Jordan Kyrou [REB],Chris Kreider [REB]
Jonas Johansson [PAC],Ben Hutton [RAM],Nathan MacKinnon [RAM],Patrik Laine [RAM],Kevin Labanc [REB]
Chad Johnson [BUC],Lucas Johansen [SUN],Evgeni Malkin [RAM],Kole Lind [SUN],Gabriel Landeskog [RAM]
Martin Jones [BUC],Erik Johnson [REB],Auston Matthews [REB],Elias Lindholm [REB],Anders Lee [RAM]
Anton Khudobin [RAM],Seth Jones [SUN],Connor McDavid [REB],Anthony Mantha [SUN],Brendan Lemieux [REB]
Keith Kinkaid [PAC],Pierre-Olivier Joseph [SUN],Michael McLeod [REB],Mitchell Marner [BUC],Milan Lucic [REB]
Joonas Korpisalo [SUN],Roman Josi [RAM],Casey Mittelstadt [BUC],Michael McCarron [RAM],Brad Marchand [SUN]
Mikko Koskinen [PAC],Olli Juolevi [BUC],Sean Monahan [SUN],Nick Merkley [REB],Jonathan Marchessault [BUC]
Darcy Kuemper [BUC],Noah Juulsen [SUN],Martin Necas [REB],James Neal [PAC],Patrick Marleau [PAC]
Eddie Lack [PAC],Noah Juulsen [SUN],Ryan Nugent-Hopkins [REB],Valeri Nichushkin [BUC],Patrick Maroon [BUC]
Robin Lehner [REB],Erik Karlsson [PAC],Jay O'Brien [RAM],Serron Noel [REB],Timo Meier [RAM]
Olof Lindbom [PAC],Duncan Keith [REB],Linus Olund [SUN],William Nylander [REB],Sonny Milano [REB]
Charlie Lindgren [PAC],Oscar Klefbom [SUN],Daniel O'Regan [REB],Kyle Okposo [PAC],J.T. Miller [SUN]
Henrik Lundqvist [PAC],John Klingberg [RAM],Ryan O'Reilly [RAM],T.J. Oshie [RAM],Tyler Motte [RAM]
Roberto Luongo [BUC],Slater Koekkoek [REB],Nolan Patrick [REB],Kyle Palmieri [RAM],Vladislav Namestnikov [SUN]
Ukko-Pekka Luukkonen [PAC],Torey Krug [REB],Elias Pettersson [PAC],David Pastrnak [RAM],Nino Niederreiter [SUN]
Alex Lyon [PAC],Oliver Kylington [REB],Brayden Point [BUC],Joe Pavelski [SUN],Alexander Nylander [PAC]
Jacob Markstrom [REB],Nick Leddy [RAM],Michael Rasmussen [BUC],Corey Perry [PAC],Alex Ovechkin [RAM]
Mason McDonald [REB],Kris Letang [PAC],Mark Scheifele [RAM],Jesse Puljujarvi [REB],Max Pacioretty [SUN]
Zane McIntyre [REB],Timothy Liljegren [REB],Brayden Schenn [REB],Alexander Radulov [BUC],Ondrej Palat [RAM]
Samuel Montembeault [SUN],Esa Lindell [PAC],Nick Schmaltz [SUN],Mikko Rantanen [PAC],Artemi Panarin [BUC]
Petr Mrazek [BUC],Hampus Lindholm [PAC],Tyler Seguin [REB],Ty Rattie [BUC],Zach Parise [REB]
Matt Murray [BUC],Mike Matheson [REB],Dylan Sikura [BUC],Sam Reinhart [BUC],Brendan Perlini [REB]
Alex Nedeljkovic [RAM],Charlie McAvoy [BUC],Eric Staal [REB],Jack Roslovic [SUN],David Perron [PAC]
Michal Neuvirth [PAC],Ian McCoshen [SUN],Steven Stamkos [PAC],Nikita Scherbak [SUN],Nic Petan [REB]
Antti Niemi [BUC],Ryan McDonagh [RAM],Paul Stastny [SUN],Zach Senyshyn [BUC],Matt Puempel [REB]
Anders Nilsson [PAC],Ryan Merkley [RAM],Sam Steel [SUN],Jakob Silfverberg [REB],Rickard Rakell [PAC]
Jake Oettinger [BUC],Victor Mete [BUC],Derek Stepan [RAM],Wayne Simmonds [RAM],Isaac Ratcliffe [PAC]
Tyler Parsons [SUN],Colin Miller [RAM],Dylan Strome [SUN],Reilly Smith [SUN],Nick Ritchie [PAC]
Cal Petersen [PAC],Brandon Montour [REB],Nick Suzuki [SUN],Daniel Sprong [BUC],Kerby Rychel [RAM]
Keith Petruzzelli [PAC],Samuel Morin [SUN],John Tavares [PAC],Alexander Steen [PAC],Brandon Saad [BUC]
Calvin Pickard [PAC],Josh Morrissey [RAM],Robert Thomas [REB],Mark Stone [PAC],Jaden Schwartz [RAM]
Colton Point [REB],Jake Muzzin [RAM],Akil Thomas [REB],Matthew Strome [REB],Conor Sheary [BUC]
Carey Price [PAC],Sami Niku [BUC],Tage Thompson [SUN],Evgeny Svechnikov [SUN],Jeff Skinner [RAM]
Jonathan Quick [SUN],Matt Niskanen [BUC],Jonathan Toews [REB],Vladimir Tarasenko [SUN],Evgeny Svechnikov [RAM]
Antti Raanta [RAM],Darnell Nurse [SUN],Vincent Trocheck [RAM],Teuvo Teravainen [RAM],Matthew Tkachuk [BUC]
Tuukka Rask [BUC],Xavier Ouellet [REB],Kyle Turris [BUC],Owen Tippett [SUN],Brady Tkachuk [BUC]
James Reimer [REB],Colton Parayko [SUN],Joseph Veleno [PAC],Tyler Toffoli [BUC],Riley Tufte [PAC]
Pekka Rinne [REB],Brett Pesce [SUN],Gabriel Vilardi [RAM],Eeli Tolvanen [BUC],James van Riemsdyk [BUC]
David Rittich [PAC],Alex Pietrangelo [SUN],Alexander Wennberg [SUN],Alex Tuch [RAM],Thomas Vanek [REB]
Olivier Rodrigue [REB],Derrick Pouliot [PAC],Colin White [RAM],Kristian Vesalainen [SUN],Frank Vatrano [REB]
Ilya Samsonov [PAC],Ivan Provorov [RAM],Pavel Zacha [BUC],Jake Virtanen [RAM],Jimmy Vesey [BUC]
Felix Sandstrom [PAC],Ryan Pulock [REB],Mika Zibanejad [REB],Alexander Volkov [PAC],Jakub Vrana [PAC]
Juuse Saros [RAM],Morgan Rielly [BUC],,Jakub Voracek [REB],Jason Zucker [RAM]
Cory Schneider [REB],Rasmus Ristolainen [BUC],,Oliver Wahlstrom [REB],Valentin Zykov [REB]
Igor Shesterkin [PAC],Jeremy Roy [RAM],,Blake Wheeler [REB],
Jakub Skarek [PAC],Rasmus Sandin [SUN],,Kailer Yamamoto [PAC],
Mike Smith [REB],Travis Sanheim [SUN],,Filip Zadina [PAC],
Ilya Sorokin [BUC],Jordan Schmaltz [REB],,Mats Zuccarello [REB],
Alex Stalock [PAC],Justin Schultz [BUC],,,
Anthony Stolarz [RAM],Mikhail Sergachev [SUN],,,
Malcolm Subban [BUC],Kevin Shattenkirk [BUC],,,
Cam Talbot [BUC],Brady Skjei [SUN],,,
Linus Ullmark [REB],Jaccob Slavin [PAC],,,
Vitek Vanecek [PAC],Ty Smith [REB],,,
Semyon Varlamov [PAC],Jared Spurgeon [PAC],,,
Andrei Vasilevskiy [PAC],Troy Stecher [BUC],,,
Cam Ward [BUC],P.K. Subban [PAC],,,
Scott Wedgewood [BUC],Jordan Subban [BUC],,,
,Ryan Suter [REB],,,
,Shea Theodore [RAM],,,
,Jacob Trouba [SUN],,,
,Juuso Valimaki [RAM],,,
,Sami Vatanen [PAC],,,
,Shea Weber [REB],,,
,Zach Werenski [REB],,,
,Keith Yandle [BUC],,,
,Nikita Zaitsev [BUC],,,
