Ben Bishop,John Carlson,Sidney Crosby,Cam Atkinson,Zach Aston-Reese
Jared Coreau,Dennis Cholowski,Matt Duchene,Brock Boeser,Anthony Beauvillier
Aaron Dell,Trevor Daley,Ryan Getzlaf,Pavel Buchnevich,Kieffer Bellows
Zach Fucale,Calvin de Haan,Kevin Hayes,Andre Burakovsky,Tyler Bertuzzi
Johan Gustafsson,Mattias Ekholm,Bo Horvat,Anthony Duclair,Michael Dal Colle
Brandon Halverson,Oliver Ekman-Larsson,Ryan Johansen,Phil Kessel,Jake DeBrusk
Magnus Hellberg,Mike Green,Dylan Larkin,Yegor Korshkov,Max Domi
Jonas Johansson,Dougie Hamilton,Elias Pettersson,James Neal,Joonas Donskoi
Keith Kinkaid,Erik Karlsson,Steven Stamkos,Kyle Okposo,Adam Erne
Mikko Koskinen,Kris Letang,John Tavares,Corey Perry,Johnny Gaudreau
Eddie Lack,Esa Lindell,,Mikko Rantanen,Taylor Hall
Charlie Lindgren,Hampus Lindholm,,Alexander Steen,Mattias Janmark
Henrik Lundqvist,Derrick Pouliot,,Alexander Volkov,Andreas Johnsson
Ukko-Pekka Luukkonen,Jaccob Slavin,,Kailer Yamamoto,Kirill Kaprizov
Alex Lyon,Brendan Smith,,,Klim Kostin
Steve Mason,Jared Spurgeon,,,Andrew Ladd
Michal Neuvirth,P.K. Subban,,,Patrick Marleau
Anders Nilsson,Sami Vatanen,,,Rick Nash
Ondrej Pavelec,,,,Brock Nelson
Cal Petersen,,,,Alexander Nylander
Keith Petruzzelli,,,,David Perron
Calvin Pickard,,,,Rickard Rakell
Carey Price,,,,Isaac Ratcliffe
Ilya Samsonov,,,,Nick Ritchie
Felix Sandstrom,,,,Riley Tufte
Harri Sateri,,,,Jakub Vrana
Igor Shesterkin,,,,
Alex Stalock,,,,
Vitek Vanecek,,,,
Semyon Varlamov,,,,
Andrei Vasilevskiy,,,,
