Craig Anderson,Nicolas Beaudin,Patrice Bergeron,Andreas Athanasiou,Anders Bjork
Mackenzie Blackwood,Evan Bouchard,Logan Brown,Josh Bailey,Robby Fabbri
Corey Crawford,Anthony DeAngelo,Filip Chytil,Sammy Blais,Joel Farabee
Scott Darling,Aaron Ekblad,Ty Dellandrea,Nick Cousins,Gabriel Landeskog
Michael Dipietro,Dante Fabbro,Dylan Dube,Alex DeBrincat,Anders Lee
Devan Dubnyk,Callan Foote,Christian Dvorak,Nikolay Goldobin,Timo Meier
Brian Elliott,Victor Hedman,Jack Eichel,Alex Iafallo,Tyler Motte
Marc-Andre Fleury,Ben Hutton,Joel Eriksson Ek,Dominik Kahun,Alex Ovechkin
John Gibson,Roman Josi,Cody Glass,Travis Konecny,Ondrej Palat
Carter Hart,John Klingberg,Jayce Hawryluk,Nikita Kucherov,Kerby Rychel
Michael Hutchinson,Nick Leddy,Brett Howden,Patrik Laine,Jaden Schwartz
Tristan Jarry,Ryan McDonagh,Alexander Kerfoot,Michael McCarron,Jeff Skinner
Anton Khudobin,Ryan Merkley,Nathan MacKinnon,T.J. Oshie,Evgeny Svechnikov
Alex Nedeljkovic,Colin Miller,Evgeni Malkin,Kyle Palmieri,Jason Zucker
Antti Raanta,Josh Morrissey,Jay O'Brien,David Pastrnak,
Juuse Saros,Jake Muzzin,Ryan O'Reilly,Wayne Simmonds,
Anthony Stolarz,Ivan Provorov,Mark Scheifele,Teuvo Teravainen,
,Jeremy Roy,Derek Stepan,Alex Tuch,
,Shea Theodore,Vincent Trocheck,Jake Virtanen,
,Juuso Valimaki,Gabriel Vilardi,,
,,Colin White,,
