Antoine Bibeau,Madison Bowey,Logan Couture,David Backes,Jamie Benn
Jordan Binnington,Erik Brannstrom,Jason Dickinson,Oliver Bjorkstrand,Sam Bennett
Sergei Bobrovsky,Jakob Chychrun,Auston Matthews,Charlie Coyle,Tyler Benson
Mike Condon,Matt Dumba,Connor McDavid,Christian Fischer,Kevin Fiala
Anton Forsberg,Justin Faulk,Michael McLeod,Patrick Kane,Filip Forsberg
Philipp Grubauer,Jake Gardiner,Martin Necas,Ondrej Kase,Max Jones
Kristers Gudlevskis,Mark Giordano,Ryan Nugent-Hopkins,Ilya Kovalchuk,Tyson Jost
Carter Hutton,Shayne Gostisbehere,Daniel O'Regan,Jordan Kyrou,Clayton Keller
Robin Lehner,Miro Heiskanen,Nolan Patrick,Elias Lindholm,Chris Kreider
Jacob Markstrom,Julius Honka,Brayden Schenn,Nick Merkley,Kevin Labanc
Mason McDonald,Erik Johnson,Tyler Seguin,Serron Noel,Brendan Lemieux
Zane McIntyre,Duncan Keith,Eric Staal,William Nylander,Milan Lucic
Colton Point,Slater Koekkoek,Robert Thomas,Jesse Puljujarvi,Sonny Milano
James Reimer,Torey Krug,Akil Thomas,Jakob Silfverberg,Zach Parise
Pekka Rinne,Oliver Kylington,Jonathan Toews,Matthew Strome,Brendan Perlini
Olivier Rodrigue,Timothy Liljegren,Mika Zibanejad,Jakub Voracek,Nic Petan
Cory Schneider,Mike Matheson,,Oliver Wahlstrom,Matt Puempel
Mike Smith,Brandon Montour,,Blake Wheeler,Thomas Vanek
Linus Ullmark,Xavier Ouellet,,Mats Zuccarello,Frank Vatrano
,Ryan Pulock,,,Valentin Zykov
,Jordan Schmaltz,,,
,Ty Smith,,,
,Ryan Suter,,,
,Shea Weber,,,
,Zach Werenski,,,
