Jake Allen,Tyson Barrie,Nicklas Backstrom,Jonatan Berggren,Kyle Connor
Frederik Andersen,Jake Bean,Aleksander Barkov,J.T. Compher,Nikolaj Ehlers
Justus Annunen,T.J. Brodie,Jeff Carter,Jordan Eberle,Claude Giroux
Jean-Francois Berube,Brent Burns,Anthony Cirelli,Julien Gauthier,Jake Guentzel
Laurent Brossoit,Dustin Byfuglien,Ryan Donato,Yanni Gourde,Tomas Hertl
Oscar Dansk,Brandon Carlo,Leon Draisaitl,Mikael Granlund,Jonathan Huberdeau
Thatcher Demko,Gabriel Carlsson,Pierre-Luc Dubois,Denis Gurianov,Brad Marchand
Philippe Desrosiers,Thomas Chabot,Jakob Forsbacka Karlsson,Danton Heinen,J.T. Miller
Alexandar Georgiev,Noah Dobson,Morgan Frost,Tomas Hyka,Vladislav Namestnikov
Connor Hellebuyck,Haydn Fleury,Alex Galchenyuk,Luke Kunin,Nino Niederreiter
Braden Holtby,Cam Fowler,Barrett Hayton,Kole Lind,Max Pacioretty
Jimmy Howard,Lucas Johansen,Nico Hischier,Anthony Mantha,
Ville Husso,Seth Jones,Adrian Kempe,Joe Pavelski,
Joonas Korpisalo,Pierre-Olivier Joseph,Anze Kopitar,Jack Roslovic,
Samuel Montembeault,Noah Juulsen,Sean Monahan,Nikita Scherbak,
Tyler Parsons,Noah Juulsen,Linus Olund,Reilly Smith,
Jonathan Quick,Oscar Klefbom,Nick Schmaltz,Evgeny Svechnikov,
,Ian McCoshen,Paul Stastny,Vladimir Tarasenko,
,Samuel Morin,Sam Steel,Owen Tippett,
,Darnell Nurse,Dylan Strome,Kristian Vesalainen,
,Colton Parayko,Nick Suzuki,,
,Brett Pesce,Tage Thompson,,
,Alex Pietrangelo,Alexander Wennberg,,
,Rasmus Sandin,,,
,Travis Sanheim,,,
,Mikhail Sergachev,,,
,Brady Skjei,,,
,Jacob Trouba,,,
